City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
244,ta`u,-14.2336,-169.5144,28.54,79,32,5.86,AS,1713783888
245,uturoa,-16.7333,-151.4333,28.22,74,2,0.8,PF,1713783889
246,anar darah,32.7587,61.654,30.94,13,0,4.49,AF,1713783890
247,new plymouth,-39.0667,174.0833,12.59,85,13,3.58,NZ,1713783633
248,ozieri,40.586,9.0012,12.82,39,41,6.13,IT,1713783891
249,bandarbeyla,9.4942,50.8122,30.36,59,100,4.74,SO,1713783892
250,geraldton,-28.7667,114.6,21.02,78,62,12.57,AU,1713783894
251,uvalde,29.3669,-99.767,13.49,57,100,3.43,US,1713783895
252,santa terezinha,-29.9002,-50.0904,19.98,75,97,1.07,BR,1713783896
253,lebu,-37.6167,-73.65,11.27,80,91,5.74,CL,1713783897
254,ceelbuur,4.685,46.6176,35.16,38,75,0.79,SO,1713783898
255,arraial do cabo,-22.9661,-42.0278,22.64,76,0,6.01,BR,1713783899
256,la passe,45.5549,-0.8967,10.86,52,2,5.08,FR,1713783900
257,luena,-11.7833,19.9167,27.66,41,39,3.38,AO,1713783901
258,salima,-13.7804,34.4587,29.41,44,1,2.58,MW,1713783902
259,gadzhiyevo,69.2551,33.3362,-6.55,66,5,10.31,RU,1713783903
260,griffith,41.5284,-87.4237,6.35,63,3,2.46,US,1713783904
261,siem reap,13.5,104.0,37.3,28,4,2.73,KH,1713783905
262,hryhoriopol,47.1536,29.2964,10.92,64,100,3.26,MD,1713783906
263,gorontalo,0.5412,123.0595,24.5,100,100,1.74,ID,1713783908
264,labytnangi,66.6572,66.4183,-10.16,77,63,5.26,RU,1713783909
265,petawawa,45.9001,-77.3328,-4.31,83,10,1.28,CA,1713783910
266,artsyz,45.9919,29.4182,8.81,93,100,8.31,UA,1713783911
267,barclayville,4.6797,-8.2339,32.49,60,92,2.1,LR,1713783912
268,sweet home,44.3976,-122.7362,2.91,87,29,1.31,US,1713783870
269,aksu,41.1231,80.2644,25.65,17,96,2.88,CN,1713783915
270,suntar,62.1444,117.6319,1.05,99,100,1.48,RU,1713783916
271,vieux-habitants,16.0589,-61.7659,26.55,73,8,4.49,GP,1713783918
272,boguchany,58.3814,97.4531,1.86,99,100,2.41,RU,1713783919
273,yaren,-0.5472,166.916,29.02,73,91,3.08,NR,1713783921
274,alaghsas,17.0187,8.0168,40.63,12,3,7.59,NE,1713783923
275,vilyuysk,63.7553,121.6247,-0.3,97,100,2.12,RU,1713783924
276,sumbawa besar,-8.5,117.4333,25.15,97,100,1.13,ID,1713783925
277,mermoz boabab,14.7065,-17.4758,20.91,82,100,5.09,SN,1713783926
278,hadibu,12.65,54.0333,30.71,63,98,3.6,YE,1713783927
279,zabaykal'sk,49.6333,117.3167,3.34,97,98,6.11,RU,1713783928
280,sebastian,35.1668,-94.2669,3.78,75,0,0.92,US,1713783810
281,ola,59.5833,151.2833,-4.18,92,34,0.66,RU,1713783930
282,kayes,14.0,-11.0,34.58,17,66,5.73,ML,1713783931
283,plymouth,41.8334,-70.8328,2.11,68,28,2.7,US,1713783932
284,isangel,-19.55,169.2667,26.2,89,100,3.32,VU,1713783933
285,lompoc,34.6391,-120.4579,11.49,94,20,1.36,US,1713783934
286,areado,-21.3586,-46.1456,16.44,76,0,0.78,BR,1713783935
287,acarau,-2.8856,-40.12,25.05,91,100,3.68,BR,1713783909
288,hami,42.8,93.45,24.46,10,2,1.29,CN,1713783937
289,brookings,44.3114,-96.7984,7.17,54,88,6.99,US,1713783938
290,georgetown,5.4112,100.3354,29.85,76,100,2.92,MY,1713783940
291,ust-nera,64.5667,143.2,-6.64,98,74,1.76,RU,1713783941
292,vila franca do campo,37.7167,-25.4333,17.16,84,100,2.31,PT,1713783942
293,wellington,-41.2866,174.7756,11.64,74,95,6.46,NZ,1713783192
294,urengoy,65.9667,78.3667,-11.1,83,100,6.53,RU,1713783943
295,crane,31.3974,-102.3501,10.51,66,100,3.59,US,1713783944
296,anloga,5.7947,0.8973,29.29,70,99,3.0,GH,1713783946
297,cukurca,37.2481,43.6136,20.66,35,13,2.98,TR,1713783947
298,valparaiso,-33.0393,-71.6273,14.96,82,84,3.13,CL,1713783948
299,cotonou,6.3654,2.4183,30.75,65,99,3.99,BJ,1713783949
